heart_rate,time_elapsed,distance,avg_running_cadence,total_calories,speed
157.0,785.0,4.970140000000001,79.0,48.0,0.006331388535031848
171.0,965.0,5.78099,82.0,49.0,0.005990663212435233
154.0,1149.0,6.40254,79.0,48.0,0.005572271540469974
172.0,1330.0,7.27433,83.0,50.0,0.005469421052631579
162.0,1512.0,7.90412,80.0,48.0,0.005227592592592593
175.0,1693.0,8.7783,83.0,51.0,0.005185056113408151
161.0,1876.0,9.40407,79.0,47.0,0.005012830490405118
176.0,2056.0,10.28459,83.0,51.0,0.005002232490272374
161.0,2237.0,10.92211,80.0,49.0,0.004882481001341082
158.0,2310.0,11.18377,81.0,19.0,0.004841458874458875
153.0,2982.0,12.7986,82.0,87.0,0.00429195171026157
149.0,465.0,1.61095,81.0,80.0,0.0034644086021505377
146.0,976.0,3.22425,80.0,99.0,0.003303534836065574
125.0,2964.0,5.01837,80.0,85.0,0.0016931072874493927
153.0,3418.0,6.62879,81.0,104.0,0.0019393768285547106
148.0,4352.0,8.236540000000002,80.0,93.0,0.001892587316176471
152.0,4898.0,9.8477,81.0,90.0,0.0020105553287055942
97.0,6048.0,9.93525,79.0,5.0,0.001642733134920635
144.0,6560.0,11.54362,80.0,93.0,0.0017596981707317075
150.0,7012.0,13.15407,80.0,105.0,0.00187593696520251
151.0,7460.0,14.76209,81.0,110.0,0.0019788324396782845
96.0,65.0,0.11026,79.0,5.0,0.0016963076923076923
157.0,460.0,1.7188,81.0,100.0,0.003736521739130435
152.0,855.0,3.32588,81.0,101.0,0.003889918128654971
156.0,1267.0,4.93803,81.0,103.0,0.00389741910023678
159.0,1305.0,5.10064,79.0,9.0,0.003908536398467433
164.0,489.0,1.6114000000000002,81.0,111.0,0.0032952965235173827
155.0,616.0,2.1545300000000003,81.0,34.0,0.003497613636363637
83.0,1504.0,3.00449,78.0,42.0,0.0019976662234042555
167.0,1575.0,3.41753,86.0,14.0,0.0021698603174603176
125.0,1635.0,3.47094,65.0,13.0,0.0021228990825688074
170.0,1707.0,3.8899,89.0,17.0,0.0022787932044522554
134.0,1767.0,3.94727,71.0,14.0,0.002233882286361064
170.0,1840.0,4.35702,87.0,18.0,0.002367945652173913
131.0,1901.0,4.41617,61.0,14.0,0.0023230773277222515
170.0,1975.0,4.82815,86.0,18.0,0.002444632911392405
132.0,2036.0,4.88914,69.0,14.0,0.0024013457760314345
171.0,2110.0,5.30771,87.0,18.0,0.0025155023696682467
134.0,2170.0,5.36906,51.0,14.0,0.002474221198156682
171.0,2244.0,5.79201,87.0,18.0,0.002581109625668449
134.0,2305.0,5.86173,57.0,14.0,0.00254304989154013
170.0,2379.0,6.2714300000000005,87.0,18.0,0.0026361622530474992
134.0,2440.0,6.336060000000001,61.0,12.0,0.0025967459016393445
169.0,2517.0,6.7625,85.0,19.0,0.002686730234406039
148.8745940093829,2577.0,6.81504,69.0,6.0,0.0026445634458672875
169.0,2652.0,7.23086,87.0,19.0,0.0027265686274509805
136.0,2713.0,7.288939999999999,55.0,9.0,0.0026866715812753406
169.0,2789.0,7.70237,87.0,18.0,0.002761695948368591
136.0,2850.0,7.77168,51.0,14.0,0.0027269052631578947
171.0,2926.0,8.1835,86.0,18.0,0.0027968215994531786
136.0,2986.0,8.249799999999999,57.0,13.0,0.0027628265237776284
169.0,3064.0,8.65772,85.0,19.0,0.002825626631853786
136.0,3124.0,8.70948,60.0,14.0,0.002787925736235595
174.0,3192.0,9.11674,92.0,17.0,0.0028561215538847116
116.0,3313.0,9.21729,69.0,18.0,0.0027821581648053125
106.0,3416.0,9.21747,82.45366029570862,82.08015815959742,0.002698322599531616
159.0,3502.0,9.6321,83.0,16.0,0.0027504568817818386
165.0,3593.0,10.05311,81.0,24.0,0.002797971054828834
148.0,479.0,1.60974,81.0,90.0,0.0033606263048016703
137.0,947.0,3.22,80.0,103.0,0.0034002111932418164
146.0,1395.0,4.82858,80.0,102.0,0.0034613476702508956
181.0,436.0,1.61305,81.0,110.0,0.0036996559633027527
158.0,871.0,3.22263,80.0,102.0,0.0036999196326062
144.0,503.0,1.61037,82.0,84.0,0.003201530815109344
154.0,1006.0,3.22109,82.0,123.0,0.0032018787276341947
171.0,719.0,3.22119,82.0,106.0,0.00448009735744089
176.0,1062.0,4.83833,82.0,97.0,0.004555866290018832
148.8745940093829,2226.9582664526483,7.125972646691634,82.45366029570862,82.08015815959742,0.0031998680684944725
143.0,123.0,3.21906,81.0,101.0,0.02617121951219512
140.0,602.0,4.83254,81.0,100.0,0.008027475083056478
137.0,1077.0,6.43765,81.0,95.0,0.005977390900649953
145.0,1572.0,8.04808,81.0,88.0,0.005119643765903308
139.0,2050.0,9.65771,80.0,96.0,0.004711078048780488
146.0,2539.0,11.26571,81.0,90.0,0.004437065773926743
144.0,2603.0,11.50255,81.0,11.0,0.004418958893584325
166.0,2621.0,11.61382,89.0,3.0,0.00443106447920641
162.0,2640.0,11.68118,85.0,5.0,0.004424689393939394
170.0,2658.0,11.77924,88.0,4.0,0.004431617757712566
157.0,2708.0,11.91483,81.0,13.0,0.004399863367799114
165.0,2726.0,12.00583,86.0,4.0,0.004404192956713133
161.0,2752.0,12.10829,83.0,6.0,0.004399814680232558
168.0,2768.0,12.195,85.0,4.0,0.004405708092485549
162.0,2800.0,12.29642,82.0,8.0,0.004391578571428571
168.0,2817.0,12.39189,87.0,4.0,0.004398966986155484
81.0,3466.0,12.47271,82.0,7.0,0.0035985891517599537
146.0,4057.0,14.08332,80.0,71.0,0.003471363076164654
147.0,4552.0,15.69415,80.0,95.0,0.003447748242530756
153.0,398.0,1.6099,81.0,95.0,0.004044974874371859
152.0,820.0,3.22265,80.0,103.0,0.003930060975609756
155.0,442.0,1.61255,80.0,106.0,0.0036483031674208145
140.0,894.0,3.21882,79.0,101.0,0.0036004697986577183
142.0,1351.0,4.829689999999999,80.0,100.0,0.0035749000740192445
147.0,1797.0,6.44057,80.0,101.0,0.0035840678909293266
150.0,2234.0,8.04716,80.0,98.0,0.0036021307072515666
148.0,2677.0,9.65857,80.0,99.0,0.00360798281658573
158.0,3090.0,11.26735,82.0,100.0,0.003646391585760518
155.0,3503.0,12.87731,82.0,98.0,0.0036760805024264914
157.0,3986.0,14.4867,82.0,87.0,0.003634395383843452
156.0,4438.0,16.09616,82.0,92.0,0.003626894997746733
157.0,445.0,1.6155,81.0,107.0,0.0036303370786516854
154.0,875.0,3.22093,80.0,103.0,0.0036810628571428573
147.0,1306.0,4.82998,80.0,100.0,0.003698300153139357
158.0,1722.0,6.44033,80.0,98.0,0.003740029036004646
148.0,1844.0,6.67788,78.0,12.0,0.003621409978308026
167.0,1875.0,6.84441,88.0,6.0,0.003650352
165.0,1995.0,7.30538,81.0,31.0,0.0036618446115288224
172.0,2035.0,7.504239999999999,87.0,10.0,0.0036875872235872234
161.0,2156.0,7.97053,80.0,31.0,0.0036969063079777364
167.0,2188.0,8.13113,85.0,8.0,0.0037162385740402196
161.0,2309.0,8.579229999999999,80.0,31.0,0.0037155608488523167
168.0,2349.0,8.78012,83.0,10.0,0.003737811834823329
163.0,2469.0,9.24039,80.0,31.0,0.003742563791008505
170.0,2501.0,9.398549999999998,84.0,8.0,0.0037579168332666927
164.0,2622.0,9.86941,81.0,32.0,0.003764077040427155
171.0,2668.0,10.09722,85.0,12.0,0.0037845652173913043
157.0,3092.0,11.7013,81.0,104.0,0.003784379042690815
156.0,120.0,1.61177,81.0,76.0,0.013431416666666666
92.0,977.0,3.19194,80.0,85.0,0.003267082906857728
170.0,1128.0,4.0715,86.0,34.0,0.0036094858156028374
160.0,1193.0,4.28565,78.0,16.0,0.00359233025984912
168.0,1363.0,5.15475,82.0,45.0,0.003781914893617021
159.0,1427.0,5.3651,78.0,16.0,0.003759705676243868
172.0,1596.0,6.23457,82.0,46.0,0.003906372180451128
159.0,1666.0,6.45626,79.0,18.0,0.0038753061224489796
173.0,1835.0,7.3196,82.0,45.0,0.003988882833787466
159.0,1910.0,7.54029,78.0,19.0,0.003947795811518324
170.0,2078.0,8.39701,82.0,45.0,0.004040909528392685
158.0,2154.0,8.62602,79.0,19.0,0.004004651810584958
172.0,2318.0,9.48072,83.0,44.0,0.004090043140638482
93.0,3184.0,9.49314,87.0,0.0,0.0029815138190954775
150.0,3658.0,11.10391,82.0,96.0,0.0030355139420448333
147.0,4201.0,12.71326,82.0,94.0,0.0030262461318733636
145.0,4706.0,14.32101,82.0,92.0,0.0030431385465363365
159.0,449.0,1.6103900000000002,81.0,110.0,0.003586614699331849
143.0,922.0,3.22175,79.0,108.0,0.003494305856832972
138.0,1381.0,4.82809,79.0,85.0,0.0034960825488776254
147.0,1832.0,6.43833,79.0,84.0,0.0035143722707423578
153.0,465.0,1.6105,81.0,92.0,0.003463440860215054
146.0,959.0,3.2191,80.0,101.0,0.003356725755995829
143.0,1431.0,4.82886,80.0,103.0,0.003374465408805031
150.0,1912.0,6.43933,81.0,108.0,0.0033678504184100418
154.0,2362.0,8.05,81.0,109.0,0.003408128704487723
157.0,2815.0,9.65901,82.0,102.0,0.003431264653641208
161.0,388.0,1.60985,82.0,98.0,0.00414909793814433
166.0,756.0,3.22035,82.0,98.0,0.004259722222222222
165.0,1121.0,4.829899999999999,81.0,96.0,0.004308563782337198
163.0,1497.0,6.439,81.0,99.0,0.00430126920507682
166.0,1881.0,8.04874,81.0,100.0,0.004278968633705476
168.0,2252.0,9.66008,81.0,98.0,0.00428955595026643
